PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
-0.31761965,-3.4118729,1.132279,-0.5487643,1.3342621,-0.29879287,0.0626938,0.09093252,-0.4801427,-0.74967253,0.020976605,3.6332855,-0.22623608,-1.2857937,1.9492358,0.5243137,2.4049304,1.0015068,-1.0568142,0.089252256,-3.7181914,-0.0045134304,0.4963337
1.7419071,1.3068662,-0.094148524,-1.5657201,1.2422891,0.4066732,1.8753442,-4.284592,2.258757,0.14009221,2.5052788,1.07363,1.7885543,-3.9128797,-3.4754744,4.1865554,0.30631268,1.2104055,-0.02637331,-0.40619415,0.8148642,-0.018504065,0.5646545
-0.4993549,0.36024246,0.09285641,1.16678,-0.29667225,0.387081,0.075624436,-0.42172477,2.0783455,0.081820466,-0.41843018,-0.13664907,-2.9415998,2.9981656,3.7641637,0.074554205,0.8867286,-0.5015742,0.4722889,0.12111185,0.93513477,1.5972143,0.07104471
-0.2916881,-0.100027956,-2.5274997,0.10321523,0.186583,5.6707892,-0.8260074,-0.5607567,-6.6309867,-0.36742398,-0.52850443,0.4915515,-0.32723582,0.3590911,0.65930754,-0.5996445,-0.21495982,-0.22610877,-0.07547026,0.19779795,0.4147925,-0.08285855,0.010187103
-0.77191,0.0011580811,-0.43679875,0.47336414,-0.028314995,-1.0542526,-1.9333231,-3.864242,-1.5112159,-1.6262952,0.6558825,-0.3205762,-1.2451909,0.5634915,1.3632491,0.030515231,-2.922244,-0.38523936,-0.021772508,-2.2929413,-3.1807785,-0.0016699575,0.6045186
-0.04635919,-0.9402969,-0.10611537,1.2029743,-4.210686,-1.3257229,-0.102422334,6.1382365,2.2749672,-0.28474328,-2.3658206,-0.11824637,-4.9169865,4.3334827,6.5022807,-0.9308067,-1.246247,0.07004069,1.4180653,-0.6195949,0.33877525,0.6532157,-1.4909136
2.0826938,-0.07236791,-0.36935323,0.06541991,0.5536822,4.5236063,3.1701782,0.001833661,2.2241864,1.6924908,4.5983887,0.25153852,4.9687185,-1.9588686,-1.5617687,-0.52501315,-0.046849832,2.057644,2.5416064,0.3942077,5.1760554,0.5212809,0.97405505
-0.37413734,-0.41987383,0.16799147,1.7018304,2.5053315,-0.08967329,-0.24384438,2.5147812,-1.1804303,-0.4729687,-1.101503,-0.91397077,0.6541623,0.46591026,-0.6169478,-0.4331515,-0.13064797,-0.734249,-3.8773477,-0.5465021,0.38714322,-0.16606496,0.28753662
1.4512684,0.012706405,-0.48080537,0.902522,-1.5235485,2.1586304,0.7916929,1.3759012,3.5791454,1.1402628,1.9423622,-0.2673775,1.8207008,0.8518013,0.6904764,-1.3198817,-1.2031853,2.1754353,3.4991124,-0.037984762,2.6238027,1.6279712,-0.50449914
-0.7945387,-0.6459586,-0.14296009,0.51112336,1.7975498,-3.6277978,-0.980185,1.9944422,0.3772719,-0.7682945,-0.8523751,-0.45020854,-4.163799,1.7648435,2.5768979,0.08325784,-0.5160085,-0.9645372,-0.8845771,-1.1706846,-2.7881734,0.20721672,0.23082829
-2.5682027,-0.7009195,-0.8009459,2.285167,-1.7530127,5.5974383,0.7277702,4.3234754,6.9875264,-26.246468,2.6458912,-5.393663,-10.021077,-4.995092,-4.577805,-2.4327369,1.9964079,6.6226873,-0.67945355,-8.718426,8.234584,2.385043,-14.105403
0.97922474,0.052769914,-0.22488223,-4.129755,-0.8014063,-0.6091917,0.5103858,-1.0447661,-5.1485243,-0.2706556,-1.7281471,-0.85612094,-0.2341279,-0.26217848,-0.30495718,0.15338244,1.4286689,1.4507891,0.44227964,-0.338574,1.1974646,-1.5064528,0.24843849
1.5385449,1.4953634,-0.3852691,-0.3563611,1.4512591,-1.0941262,0.28252715,-3.867285,-0.17446142,-1.589954,2.5410736,1.5548587,0.29103273,-0.17268382,0.87161314,3.2847724,-0.47046673,1.8358806,-1.7062443,-0.54037136,0.33832178,-0.4089934,-1.0131139
-0.23494455,2.6674194,0.21793038,-0.6063622,0.24535355,-0.3124995,-0.37433547,-0.37031513,-0.63105905,0.73011696,-1.3952874,-0.055754595,-7.019632,-0.7751504,-0.42591894,-0.77724344,0.27555063,0.575155,5.448584,-0.80650604,2.2213016,0.6509435,-1.0305694
-5.141352,-0.18217136,1.1574206,0.8340118,2.2351944,0.8979131,-4.769928,-2.2695072,-0.74078923,0.87143606,-4.1953115,1.072724,0.4725878,-0.6377793,-2.5016472,-0.64068437,3.1361113,-3.6355698,0.38789815,1.1601447,-0.41389573,-0.16140604,1.7013913
